Time (s)	B1 X (micron) 	 B1 Y (micron) 	B2 X (micron) 	 B2 Y (micron) 	B3 X (micron) 	 B3 Y (micron) 	B4 X (micron) 	 B4 Y (micron) 	B5 X (micron) 	 B5 Y (micron) 	B6 X (micron) 	 B6 Y (micron) 	B7 X (micron) 	 B7 Y (micron) 	B8 X (micron) 	 B8 Y (micron) 	B9 X (micron) 	 B9 Y (micron) 	B10 X (micron) 	 B10 Y (micron) 	B11 X (micron) 	 B11 Y (micron) 	B12 X (micron) 	 B12 Y (micron) 	B13 X (micron) 	 B13 Y (micron) 	B14 X (micron) 	 B14 Y (micron) 	B15 X (micron) 	 B15 Y (micron) 	
0.000000 	5.215112 	 2.417575 	2.591604 	 4.240316 	0.794913 	 1.702804 	4.652738 	 0.064245 	2.829609 	 2.166099 	3.672417 	 3.730085 	0.493743 	 2.169110 	1.493657 	 2.778372 	3.295749 	 4.180620 	0.306514 	 0.860133 	0.298491 	 1.235149 	4.019926 	 3.075213 	4.042780 	 2.990117 	2.427989 	 0.508875 	2.642288 	 0.905821 	
0.000100 	5.217027 	 2.419349 	2.593202 	 4.240526 	0.796640 	 1.704642 	4.654702 	 0.064729 	2.831400 	 2.167036 	3.674507 	 3.729120 	0.494927 	 2.170515 	1.495768 	 2.778066 	3.295705 	 4.181366 	0.307935 	 0.859968 	0.299912 	 1.234984 	4.021009 	 3.074906 	4.043862 	 2.989810 	2.428666 	 0.509881 	2.642964 	 0.906827 	
0.000200 	5.218940 	 2.421408 	2.595072 	 4.240713 	0.797887 	 1.707149 	4.658773 	 0.065881 	2.834303 	 2.168289 	3.677082 	 3.728055 	0.496061 	 2.172852 	1.498692 	 2.779490 	3.296925 	 4.181454 	0.308927 	 0.858947 	0.300904 	 1.233964 	4.021805 	 3.074316 	4.044659 	 2.989221 	2.429816 	 0.510635 	2.644115 	 0.907582 	
0.000300 	5.221472 	 2.423050 	2.596946 	 4.241029 	0.799538 	 1.711255 	4.662156 	 0.066179 	2.837193 	 2.169598 	3.680209 	 3.726168 	0.496506 	 2.175542 	1.502521 	 2.780502 	3.298983 	 4.181542 	0.310019 	 0.857434 	0.301996 	 1.232450 	4.023017 	 3.073196 	4.045871 	 2.988100 	2.431715 	 0.511835 	2.646014 	 0.908781 	
0.000400 	5.225139 	 2.424542 	2.599504 	 4.241691 	0.802043 	 1.716440 	4.664823 	 0.066062 	2.840649 	 2.171446 	3.682727 	 3.723336 	0.496970 	 2.178052 	1.507211 	 2.781479 	3.303407 	 4.180956 	0.311777 	 0.857150 	0.303755 	 1.232166 	4.023560 	 3.071363 	4.046413 	 2.986267 	2.432585 	 0.512911 	2.646884 	 0.909857 	
0.000500 	5.229774 	 2.427028 	2.603335 	 4.243775 	0.805122 	 1.720851 	4.668147 	 0.065477 	2.845432 	 2.172148 	3.684882 	 3.720197 	0.497800 	 2.180480 	1.513318 	 2.783758 	3.309038 	 4.179600 	0.313481 	 0.857867 	0.305458 	 1.232883 	4.024922 	 3.069658 	4.047776 	 2.984562 	2.433660 	 0.514360 	2.647958 	 0.911306 	
0.000600 	5.234235 	 2.427744 	2.608945 	 4.246488 	0.808146 	 1.725368 	4.672688 	 0.063780 	2.850798 	 2.173467 	3.688582 	 3.717707 	0.499115 	 2.182821 	1.520265 	 2.786646 	3.314699 	 4.177882 	0.315128 	 0.859363 	0.307106 	 1.234379 	4.027973 	 3.068009 	4.050827 	 2.982914 	2.435969 	 0.515631 	2.650268 	 0.912578 	
0.000700 	5.238189 	 2.427956 	2.615090 	 4.248585 	0.811091 	 1.728602 	4.677791 	 0.063784 	2.856758 	 2.175026 	3.693385 	 3.715965 	0.500939 	 2.185413 	1.528006 	 2.788992 	3.321772 	 4.175804 	0.317290 	 0.860530 	0.309267 	 1.235546 	4.031443 	 3.066924 	4.054296 	 2.981828 	2.438778 	 0.517068 	2.653077 	 0.914014 	
0.000800 	5.241598 	 2.428740 	2.620613 	 4.251866 	0.814332 	 1.730514 	4.682636 	 0.064046 	2.862937 	 2.176899 	3.697156 	 3.714501 	0.503171 	 2.186895 	1.536775 	 2.790971 	3.328668 	 4.174899 	0.319584 	 0.861254 	0.311561 	 1.236270 	4.034622 	 3.066438 	4.057476 	 2.981342 	2.441813 	 0.518983 	2.656111 	 0.915930 	
0.000900 	5.245283 	 2.430947 	2.625851 	 4.253613 	0.816573 	 1.732520 	4.687874 	 0.063793 	2.868530 	 2.178721 	3.701956 	 3.713825 	0.503362 	 2.189069 	1.545648 	 2.792613 	3.335970 	 4.174436 	0.321996 	 0.861706 	0.313973 	 1.236723 	4.036674 	 3.066295 	4.059527 	 2.981200 	2.444934 	 0.520941 	2.659233 	 0.917887 	
