Time (s)	C1 X (micron) 	 C1 Y (micron) 	C2 X (micron) 	 C2 Y (micron) 	
0.000000 	3.499652 	 2.709204 	2.993913 	 1.138079 	
0.000100 	3.500432 	 2.709240 	2.994183 	 1.138028 	
0.000200 	3.501432 	 2.709044 	2.994303 	 1.138474 	
0.000300 	3.502500 	 2.709145 	2.994953 	 1.138808 	
0.000400 	3.504195 	 2.708932 	2.995838 	 1.139778 	
0.000500 	3.505379 	 2.709094 	2.996730 	 1.140815 	
0.000600 	3.506863 	 2.709534 	2.997903 	 1.141681 	
0.000700 	3.508041 	 2.710423 	2.999552 	 1.142131 	
0.000800 	3.509023 	 2.711489 	3.000968 	 1.143025 	
0.000900 	3.510767 	 2.711876 	3.002457 	 1.143581 	
0.001000 	3.511931 	 2.712711 	3.004215 	 1.144617 	
0.001100 	3.513532 	 2.712593 	3.005987 	 1.145535 	
0.001200 	3.515428 	 2.712997 	3.007636 	 1.146738 	
0.001300 	3.517069 	 2.713251 	3.009388 	 1.147713 	
0.001400 	3.518946 	 2.713777 	3.011122 	 1.148712 	
0.001500 	3.520714 	 2.714317 	3.013276 	 1.149703 	
0.001600 	3.522347 	 2.714567 	3.015329 	 1.150394 	
0.001700 	3.524045 	 2.714614 	3.017549 	 1.150879 	
0.001800 	3.526298 	 2.715015 	3.019173 	 1.150746 	
0.001900 	3.528584 	 2.715145 	3.020979 	 1.150688 	
0.002000 	3.530902 	 2.715254 	3.022737 	 1.150972 	
0.002100 	3.533442 	 2.715454 	3.025249 	 1.151754 	
0.002200 	4.989880 	 2.889272 	3.536386 	 2.716787 	
0.002300 	4.997277 	 2.891662 	3.539194 	 2.717964 	
0.002400 	5.004642 	 2.894435 	3.542425 	 2.718753 	
0.002500 	5.011304 	 2.896876 	3.545723 	 2.719476 	
0.002600 	5.018454 	 2.898671 	3.549801 	 2.720011 	
0.002700 	5.025602 	 2.900731 	3.553850 	 2.720586 	
0.002800 	5.032508 	 2.903534 	3.557726 	 2.720555 	
0.002900 	5.039152 	 2.906632 	3.562014 	 2.719828 	
0.003000 	5.046348 	 2.908792 	3.566440 	 2.719343 	
0.003100 	5.053223 	 2.910919 	3.571429 	 2.718512 	
0.003200 	5.060179 	 2.913322 	3.576380 	 2.716584 	
0.003300 	5.066859 	 2.914908 	3.581113 	 2.714622 	
0.003400 	5.073664 	 2.916387 	3.586238 	 2.712740 	
0.003500 	5.080670 	 2.917367 	3.591123 	 2.711024 	
0.003600 	5.088553 	 2.918271 	3.595303 	 2.709852 	
0.003700 	5.096551 	 2.919114 	3.599371 	 2.708489 	
0.003800 	5.104061 	 2.920431 	3.603159 	 2.707616 	
0.003900 	5.111491 	 2.921875 	3.607061 	 2.706305 	
0.004000 	5.118712 	 2.923354 	3.610736 	 2.704456 	
0.004100 	5.125413 	 2.924376 	3.614786 	 2.702246 	
0.004200 	5.132319 	 2.924745 	3.618807 	 2.700786 	
0.004300 	5.139499 	 2.925265 	3.622907 	 2.699900 	
0.004400 	5.146004 	 2.925951 	3.627001 	 2.699214 	
0.004500 	5.152382 	 2.927016 	3.630774 	 2.699041 	
0.004600 	5.158601 	 2.927628 	3.635009 	 2.699065 	
0.004700 	5.164192 	 2.927789 	3.638666 	 2.699260 	
0.004800 	5.169850 	 2.928231 	3.641484 	 2.700071 	
0.004900 	5.176019 	 2.929031 	3.643349 	 2.701590 	
0.005000 	5.181277 	 2.930340 	3.645619 	 2.703126 	
0.005100 	5.187132 	 2.930912 	3.647559 	 2.703954 	
0.005200 	5.193043 	 2.931828 	3.649629 	 2.705546 	
0.005300 	5.198564 	 2.932468 	3.652465 	 2.707232 	
0.005400 	5.204049 	 2.932158 	3.655891 	 2.709594 	
0.005500 	5.209186 	 2.932258 	3.658592 	 2.711564 	
0.005600 	5.213729 	 2.932128 	3.660918 	 2.713427 	
0.005700 	5.218723 	 2.932209 	3.662969 	 2.715016 	
0.005800 	5.223052 	 2.932532 	3.665081 	 2.715682 	
0.005900 	5.227517 	 2.933049 	3.667710 	 2.715623 	
0.006000 	5.232815 	 2.933269 	3.669817 	 2.715767 	
0.006100 	5.238403 	 2.932859 	3.672292 	 2.716063 	
0.006200 	5.244487 	 2.932354 	3.674824 	 2.715723 	
0.006300 	5.250206 	 2.931645 	3.677503 	 2.714554 	
0.006400 	5.256031 	 2.931087 	3.680944 	 2.714412 	
0.006500 	5.261626 	 2.930304 	3.684324 	 2.714669 	
0.006600 	5.268259 	 2.929211 	3.687761 	 2.715246 	
0.006700 	5.274316 	 2.927888 	3.692145 	 2.716803 	
0.006800 	5.279761 	 2.926582 	3.696530 	 2.717836 	
0.006900 	5.284830 	 2.925066 	3.700429 	 2.718460 	
0.007000 	5.289626 	 2.924494 	3.704146 	 2.718512 	
0.007100 	5.294801 	 2.924476 	3.706910 	 2.718558 	
0.007200 	5.299823 	 2.924643 	3.710006 	 2.719229 	
0.007300 	5.305425 	 2.924671 	3.712307 	 2.720479 	
0.007400 	3.714224 	 2.721204 	3.225829 	 1.163650 	
0.007500 	3.716390 	 2.721182 	3.230244 	 1.163721 	
0.007600 	3.719015 	 2.721191 	3.234665 	 1.163693 	
0.007700 	3.720730 	 2.721905 	3.239183 	 1.163641 	
0.007800 	3.722543 	 2.722811 	3.243641 	 1.163816 	
0.007900 	3.724109 	 2.723653 	3.247180 	 1.163737 	
0.008000 	3.726336 	 2.724459 	3.250774 	 1.164323 	
0.008100 	3.728465 	 2.724289 	3.254084 	 1.163918 	
0.008200 	3.730987 	 2.725002 	3.257642 	 1.163570 	
0.008300 	3.733378 	 2.725309 	3.261145 	 1.163484 	
0.008400 	3.736385 	 2.725587 	3.264642 	 1.163838 	
0.008500 	3.739311 	 2.725724 	3.267515 	 1.164498 	
0.008600 	3.742444 	 2.725931 	3.270215 	 1.165089 	
0.008700 	3.745414 	 2.726716 	3.272684 	 1.165403 	
0.008800 	3.748614 	 2.727328 	3.275370 	 1.166092 	
0.008900 	3.751937 	 2.728587 	3.278553 	 1.166953 	
0.009000 	3.755102 	 2.729413 	3.282070 	 1.167563 	
0.009100 	3.758624 	 2.730194 	3.286009 	 1.168166 	
0.009200 	3.762895 	 2.731223 	3.289703 	 1.168772 	
0.009300 	3.767374 	 2.732390 	3.293707 	 1.169557 	
0.009400 	3.772243 	 2.733143 	3.297192 	 1.170290 	
0.009500 	3.777138 	 2.734208 	3.300602 	 1.170714 	
0.009600 	3.782231 	 2.734062 	3.304699 	 1.171204 	
0.009700 	3.787338 	 2.733051 	3.308567 	 1.172081 	
0.009800 	3.792408 	 2.731573 	3.312093 	 1.173151 	
0.009900 	3.797927 	 2.729889 	3.315934 	 1.174323 	
