Time (s) 	P1 X (micron) 	 P1 Y (micron) 	P2 X (micron) 	 P2 Y (micron) 	P3 X (micron) 	 P3 Y (micron) 	P4 X (micron) 	 P4 Y (micron) 	P5 X (micron) 	 P5 Y (micron) 	P6 X (micron) 	 P6 Y (micron) 	P7 X (micron) 	 P7 Y (micron) 	P8 X (micron) 	 P8 Y (micron) 	P9 X (micron) 	 P9 Y (micron) 	P10 X (micron) 	 P10 Y (micron) 	P11 X (micron) 	 P11 Y (micron) 	P12 X (micron) 	 P12 Y (micron) 	P13 X (micron) 	 P13 Y (micron) 	P14 X (micron) 	 P14 Y (micron) 	P15 X (micron) 	 P15 Y (micron) 	P16 X (micron) 	 P16 Y (micron) 	P17 X (micron) 	 P17 Y (micron) 	P18 X (micron) 	 P18 Y (micron) 	P19 X (micron) 	 P19 Y (micron) 	P20 X (micron) 	 P20 Y (micron) 	P21 X (micron) 	 P21 Y (micron) 	P22 X (micron) 	 P22 Y (micron) 	P23 X (micron) 	 P23 Y (micron) 	P24 X (micron) 	 P24 Y (micron) 	P25 X (micron) 	 P25 Y (micron) 	P26 X (micron) 	 P26 Y (micron) 	P27 X (micron) 	 P27 Y (micron) 	P28 X (micron) 	 P28 Y (micron) 	P29 X (micron) 	 P29 Y (micron) 	P30 X (micron) 	 P30 Y (micron) 	P31 X (micron) 	 P31 Y (micron) 	P32 X (micron) 	 P32 Y (micron) 	P33 X (micron) 	 P33 Y (micron) 	P34 X (micron) 	 P34 Y (micron) 	P35 X (micron) 	 P35 Y (micron) 	P36 X (micron) 	 P36 Y (micron) 	P37 X (micron) 	 P37 Y (micron) 	P38 X (micron) 	 P38 Y (micron) 	P39 X (micron) 	 P39 Y (micron) 	P40 X (micron) 	 P40 Y (micron) 	P41 X (micron) 	 P41 Y (micron) 	P42 X (micron) 	 P42 Y (micron) 	P43 X (micron) 	 P43 Y (micron) 	P44 X (micron) 	 P44 Y (micron) 	P45 X (micron) 	 P45 Y (micron) 	P46 X (micron) 	 P46 Y (micron) 	P47 X (micron) 	 P47 Y (micron) 	P48 X (micron) 	 P48 Y (micron) 	P49 X (micron) 	 P49 Y (micron) 	P50 X (micron) 	 P50 Y (micron) 	
0.000000 	3.609089 	 2.998993 	2.386205 	 3.047992 	4.746286 	 2.776511 	2.330731 	 1.977339 	0.519531 	 1.389370 	3.603290 	 3.213578 	4.621781 	 1.940529 	4.526606 	 1.015071 	5.257130 	 1.229251 	3.144327 	 3.187558 	3.668374 	 0.643833 	1.639960 	 1.979270 	3.857971 	 4.149044 	1.236193 	 3.100621 	1.605912 	 3.151351 	5.154313 	 0.743601 	5.449302 	 4.239599 	4.247494 	 1.169406 	1.613666 	 0.380527 	0.021491 	 3.302279 	3.404901 	 2.397412 	4.263670 	 2.445986 	3.992595 	 2.691073 	3.621461 	 1.796600 	4.605391 	 1.866059 	5.177624 	 3.675346 	0.435321 	 2.297024 	2.675873 	 3.645232 	2.956141 	 1.520872 	2.389096 	 3.529202 	4.662581 	 2.920212 	5.442930 	 3.667438 	1.219909 	 1.588561 	2.959467 	 2.943539 	4.302892 	 1.861969 	2.498285 	 2.988146 	0.567234 	 3.055237 	0.498337 	 1.965361 	5.144532 	 1.160434 	4.784725 	 0.085754 	3.030279 	 0.007845 	3.949340 	 2.599921 	1.882667 	 2.969653 	4.780977 	 1.788594 	1.964834 	 2.440270 	5.293226 	 2.035221 	0.160078 	 3.962869 	4.488511 	 1.653980 	4.917150 	 3.547728 	1.981820 	 3.479045 	
0.000100 	3.629080 	 3.011996 	2.391273 	 3.061909 	4.736812 	 2.788900 	2.322405 	 1.962842 	0.533659 	 1.374528 	3.593136 	 3.214887 	4.626235 	 1.952842 	4.545187 	 0.991546 	5.253106 	 1.220973 	3.128571 	 3.203998 	3.681679 	 0.645737 	1.628191 	 1.968715 	3.870133 	 4.147350 	1.242937 	 3.102107 	1.603593 	 3.146316 	5.150085 	 0.735851 	5.455840 	 4.220345 	4.246430 	 1.155915 	1.622847 	 0.388887 	0.028846 	 3.293925 	3.407046 	 2.396702 	4.259731 	 2.440494 	3.991611 	 2.669933 	3.631365 	 1.794317 	4.609160 	 1.856581 	5.195362 	 3.663161 	0.440915 	 2.325970 	2.686263 	 3.636822 	2.942109 	 1.516820 	2.391613 	 3.531221 	4.660422 	 2.925167 	5.426476 	 3.675465 	1.234811 	 1.581056 	2.975422 	 2.934430 	4.306530 	 1.857395 	2.507557 	 2.964981 	0.585044 	 3.051734 	0.506268 	 1.961833 	5.128504 	 1.167844 	4.773829 	 0.090278 	3.029459 	 0.006684 	3.959823 	 2.606694 	1.895069 	 2.977902 	4.775194 	 1.781817 	1.957971 	 2.453881 	5.270950 	 2.041868 	0.157560 	 3.949823 	4.495318 	 1.646178 	4.912343 	 3.542791 	1.999957 	 3.494382 	
0.000200 	3.648862 	 3.023957 	2.389384 	 3.079668 	4.725341 	 2.796227 	2.312651 	 1.947349 	0.544302 	 1.356043 	3.572439 	 3.221445 	4.623954 	 1.967655 	4.554190 	 0.975315 	5.242119 	 1.224613 	3.132921 	 3.215213 	3.689505 	 0.657155 	1.622319 	 1.959188 	3.888866 	 4.149922 	1.239940 	 3.100981 	1.616087 	 3.144900 	5.154198 	 0.723697 	5.467293 	 4.201034 	4.253408 	 1.148143 	1.639520 	 0.401139 	0.035192 	 3.307279 	3.405602 	 2.401641 	4.260865 	 2.440335 	3.999785 	 2.662897 	3.630701 	 1.795939 	4.620458 	 1.842966 	5.205915 	 3.656881 	0.442219 	 2.339950 	2.694470 	 3.612493 	2.933717 	 1.510308 	2.392030 	 3.528887 	4.663841 	 2.949380 	5.422085 	 3.674487 	1.244342 	 1.576435 	2.964981 	 2.929730 	4.318058 	 1.859121 	2.506234 	 2.948446 	0.588373 	 3.050886 	0.509045 	 1.950101 	5.105631 	 1.177259 	4.756129 	 0.085435 	3.021254 	 0.011051 	3.959296 	 2.604220 	1.900174 	 2.987265 	4.775002 	 1.764527 	1.943987 	 2.465255 	5.249775 	 2.060659 	0.182936 	 3.950974 	4.507641 	 1.623629 	4.910759 	 3.547140 	2.019488 	 3.510426 	
0.000300 	3.666806 	 3.037222 	2.380557 	 3.078466 	4.734413 	 2.816856 	2.322256 	 1.946712 	0.550774 	 1.339767 	3.568821 	 3.246470 	4.638211 	 1.966048 	4.562387 	 0.961931 	5.216006 	 1.210786 	3.121948 	 3.229597 	3.688105 	 0.668096 	1.609332 	 1.959276 	3.890164 	 4.155452 	1.219617 	 3.115316 	1.628438 	 3.142587 	5.179910 	 0.724113 	5.496091 	 4.185485 	4.257449 	 1.139465 	1.644312 	 0.395644 	0.040314 	 3.300566 	3.409016 	 2.400824 	4.251641 	 2.441588 	4.002990 	 2.642182 	3.631355 	 1.798548 	4.626514 	 1.835454 	5.208062 	 3.640659 	0.448051 	 2.352120 	2.699032 	 3.594871 	2.929699 	 1.508436 	2.389985 	 3.543679 	4.688153 	 2.956524 	5.428362 	 3.682977 	1.255785 	 1.592977 	2.959363 	 2.952124 	4.325662 	 1.857527 	2.517210 	 2.931148 	0.595012 	 3.044842 	0.500222 	 1.926691 	5.089484 	 1.183216 	4.766959 	 0.090302 	3.036059 	 0.009585 	3.952421 	 2.609482 	1.902444 	 3.000747 	4.788622 	 1.750749 	1.947417 	 2.472657 	5.253818 	 2.078460 	0.206115 	 3.953080 	4.512043 	 1.596922 	4.910515 	 3.556373 	2.037222 	 3.522208 	
0.000400 	3.670704 	 3.054874 	2.384412 	 3.077551 	4.749147 	 2.833579 	2.328687 	 1.951213 	0.572387 	 1.343020 	3.569097 	 3.256888 	4.619587 	 1.966283 	4.561682 	 0.969973 	5.212807 	 1.193289 	3.128709 	 3.246574 	3.677634 	 0.678665 	1.595845 	 1.963749 	3.920085 	 4.147358 	1.210430 	 3.116095 	1.658068 	 3.144353 	5.194448 	 0.716130 	5.511670 	 4.182002 	4.267463 	 1.133646 	1.646031 	 0.390176 	0.052194 	 3.291126 	3.410021 	 2.388795 	4.240417 	 2.437781 	4.023583 	 2.620871 	3.632806 	 1.795312 	4.625497 	 1.853499 	5.211377 	 3.632786 	0.455081 	 2.352468 	2.715007 	 3.587215 	2.919966 	 1.514756 	2.393357 	 3.548248 	4.711994 	 2.960842 	5.437535 	 3.681515 	1.256829 	 1.600313 	2.955272 	 2.965212 	4.320146 	 1.854605 	2.525864 	 2.915798 	0.611108 	 3.035002 	0.511785 	 1.926789 	5.094416 	 1.187702 	4.786337 	 0.089663 	3.033778 	 4.278035 	3.935193 	 2.600521 	1.920108 	 3.001312 	4.799857 	 1.737996 	1.950667 	 2.465417 	5.248868 	 2.081145 	0.246906 	 3.966905 	4.525627 	 1.573716 	4.912347 	 3.556975 	2.056400 	 3.538350 	
0.000500 	3.680261 	 3.068288 	2.389152 	 3.061702 	4.756780 	 2.836934 	2.328620 	 1.957748 	0.602521 	 1.345872 	3.591096 	 3.245603 	4.616656 	 1.966600 	4.544169 	 1.004811 	5.196954 	 1.183028 	3.129651 	 3.250829 	3.671278 	 0.674877 	1.581420 	 1.963500 	3.946569 	 4.142251 	1.220083 	 3.109091 	1.670534 	 3.141134 	5.208512 	 0.710600 	5.515032 	 4.192860 	4.273100 	 1.131549 	1.643883 	 0.382338 	0.070134 	 3.276927 	3.417357 	 2.370809 	4.226384 	 2.421353 	4.038140 	 2.616760 	3.628630 	 1.801585 	4.625977 	 1.861738 	5.222381 	 3.610480 	0.460128 	 2.355247 	2.717790 	 3.567601 	2.921502 	 1.529904 	2.384452 	 3.555887 	4.707113 	 2.959413 	5.462068 	 3.682854 	1.256312 	 1.598335 	2.955957 	 2.992865 	4.323821 	 1.852331 	2.527858 	 2.916396 	0.612415 	 3.005432 	0.512158 	 1.909702 	5.080497 	 1.183781 	4.793639 	 0.073797 	3.043004 	 4.276381 	3.925339 	 2.593216 	1.923506 	 3.009599 	4.813025 	 1.731494 	1.974768 	 2.452363 	5.249207 	 2.065677 	0.290682 	 3.989451 	4.535127 	 1.557150 	4.917445 	 3.560635 	2.071237 	 3.544130 	
0.000600 	3.691433 	 3.082185 	2.396240 	 3.046826 	4.771969 	 2.839018 	2.331007 	 1.955987 	0.640702 	 1.357913 	3.596403 	 3.234680 	4.603601 	 1.978815 	4.521912 	 1.030874 	5.188703 	 1.188194 	3.140918 	 3.258282 	3.671938 	 0.683034 	1.575573 	 1.951772 	3.962193 	 4.136873 	1.216474 	 3.097872 	1.679718 	 3.134860 	5.213088 	 0.711975 	0.002497 	 4.208437 	4.287014 	 1.109066 	1.658105 	 0.379460 	0.068113 	 3.274451 	3.425962 	 2.361283 	4.212850 	 2.397355 	4.026224 	 2.638103 	3.615292 	 1.804088 	4.622629 	 1.858090 	5.244010 	 3.600197 	0.454861 	 2.351041 	2.718821 	 3.546628 	2.921990 	 1.552776 	2.372585 	 3.560168 	4.705894 	 2.938071 	5.491437 	 3.680424 	1.258429 	 1.589980 	2.948365 	 3.007713 	4.343048 	 1.840827 	2.541129 	 2.915654 	0.616832 	 2.996758 	0.526674 	 1.900218 	5.074139 	 1.172716 	4.804701 	 0.054504 	3.054893 	 0.001679 	3.920326 	 2.602432 	1.925017 	 3.022295 	4.816640 	 1.719640 	1.996384 	 2.451568 	5.242781 	 2.048640 	0.316263 	 4.007241 	4.555458 	 1.553848 	4.921493 	 3.568839 	2.093522 	 3.567075 	
0.000700 	3.716375 	 3.106890 	2.404867 	 3.024009 	4.780966 	 2.845370 	2.337705 	 1.961498 	0.671384 	 1.371636 	3.597049 	 3.219160 	4.610269 	 1.981882 	4.509232 	 1.050533 	5.177379 	 1.195539 	3.162405 	 3.273970 	3.678635 	 0.693081 	1.583698 	 1.940776 	3.977978 	 4.128848 	1.195652 	 3.092349 	1.696319 	 3.113928 	5.218211 	 0.715732 	0.004772 	 4.211461 	4.294394 	 1.104005 	1.672849 	 0.364142 	0.094117 	 3.273697 	3.432510 	 2.356316 	4.181666 	 2.375995 	4.019814 	 2.654966 	3.616364 	 1.802898 	4.615700 	 1.842611 	5.266835 	 3.599117 	0.464945 	 2.353764 	2.718295 	 3.527416 	2.926040 	 1.571632 	2.351603 	 3.560590 	4.713704 	 2.932477 	5.498308 	 3.671067 	1.242851 	 1.592249 	2.957582 	 3.008666 	4.359279 	 1.841763 	2.555569 	 2.921832 	0.636695 	 2.994672 	0.525578 	 1.895906 	5.075803 	 1.155595 	4.819352 	 0.059888 	3.057299 	 0.008899 	3.930935 	 2.620402 	1.942504 	 3.033810 	4.831531 	 1.713962 	2.010748 	 2.453553 	5.252024 	 2.044968 	0.336944 	 4.003174 	4.544739 	 1.546073 	4.929546 	 3.574644 	2.113902 	 3.567833 	
0.000800 	3.740887 	 3.126213 	2.417865 	 3.008032 	4.762367 	 2.849731 	2.339465 	 1.955648 	0.702207 	 1.378022 	3.606371 	 3.230841 	4.613643 	 1.992948 	4.509508 	 1.057625 	5.170551 	 1.192266 	3.184700 	 3.280933 	3.688411 	 0.695401 	1.584934 	 1.934840 	3.976735 	 4.133200 	1.170980 	 3.087558 	1.703834 	 3.086307 	5.212025 	 0.727216 	0.013550 	 4.212731 	4.282509 	 1.100897 	1.680871 	 0.367210 	0.123171 	 3.268838 	3.423219 	 2.361464 	4.173400 	 2.360961 	4.025769 	 2.662322 	3.617745 	 1.814869 	4.618214 	 1.841962 	5.293450 	 3.599049 	0.481296 	 2.363147 	2.710806 	 3.510606 	2.924790 	 1.584593 	2.354086 	 3.552110 	4.703891 	 2.915158 	5.519750 	 3.670563 	1.250526 	 1.587599 	2.966182 	 3.010384 	4.357842 	 1.830421 	2.561223 	 2.931345 	0.629177 	 2.987006 	0.537053 	 1.883280 	5.076430 	 1.146962 	4.830265 	 0.056787 	3.059768 	 4.279548 	3.951744 	 2.618070 	1.942511 	 3.035819 	4.836621 	 1.726827 	2.015492 	 2.464625 	5.258764 	 2.052145 	0.353803 	 4.004697 	4.547164 	 1.552413 	4.944310 	 3.590517 	2.140035 	 3.569616 	
0.000900 	3.751447 	 3.128804 	2.434484 	 2.996648 	4.761909 	 2.849530 	2.354345 	 1.964193 	0.725259 	 1.383989 	3.609878 	 3.233960 	4.614724 	 1.999198 	4.501766 	 1.069003 	5.186745 	 1.191121 	3.178024 	 3.294551 	3.682284 	 0.710328 	1.565629 	 1.920375 	3.974086 	 4.139814 	1.152958 	 3.067382 	1.694412 	 3.075192 	5.220937 	 0.728671 	0.029726 	 4.208271 	4.273614 	 1.093266 	1.688634 	 0.364580 	0.150904 	 3.267561 	3.421469 	 2.370295 	4.151066 	 2.351618 	4.043578 	 2.660215 	3.613926 	 1.841691 	4.620765 	 1.826596 	5.313323 	 3.613479 	0.490612 	 2.372004 	2.702993 	 3.494186 	2.910266 	 1.587902 	2.366086 	 3.553263 	4.692235 	 2.902414 	5.525974 	 3.658780 	1.253857 	 1.584698 	2.975058 	 3.011427 	4.365942 	 1.822460 	2.579721 	 2.935711 	0.621020 	 2.997042 	0.548980 	 1.890435 	5.076637 	 1.152203 	4.851936 	 0.065020 	3.072049 	 0.011774 	3.967501 	 2.616441 	1.950809 	 3.024596 	4.838104 	 1.726264 	2.016583 	 2.471074 	5.248826 	 2.064450 	0.357648 	 3.995808 	4.555832 	 1.565131 	4.952561 	 3.598167 	2.154369 	 3.569981 	
